datetime_utc,mgs_x_km,mgs_y_km,mgs_z_km,mgs_vx_km_s,mgs_vy_km_s,mgs_vz_km_s,mars_sun_x_km,mars_sun_y_km,mars_sun_z_km
1997-09-19T14:46:30.000,-5165.255821540761,6683.807521269691,-11313.405181654707,0.4518524101579685,1.0582518734224582,-1.8267215462280941,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:46:40.000,-5160.733373683927,6694.384958533597,-11331.663795827362,0.4526365475385655,1.0572359583633615,-1.825001920869328,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:46:50.000,-5156.203102828123,6704.9522480030655,-11349.905232700421,0.45341701347396207,1.0562223131375261,-1.823286084010915,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:47:00.000,-5151.665045582401,6715.509412334567,-11368.129530090064,0.4541938290183772,1.0552109293788825,-1.8215740218994305,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:47:10.000,-5147.119238346037,6726.056474101109,-11386.336725675263,0.4549670150734281,1.0542017987613623,-1.8198657208457543,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:47:20.000,-5142.565717310046,6736.593455792639,-11404.526856998415,0.4557365923894579,1.0531949129986857,-1.8181611672247586,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:47:30.000,-5138.004518458693,6747.120379816439,-11422.699961465987,0.45650258156687157,1.052190263844147,-1.816460347474959,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:47:40.000,-5133.435677570982,6757.63726849752,-11440.85607634915,0.4572650030574421,1.0511878430904025,-1.814763248098195,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:47:50.000,-5128.859230222137,6768.144144079018,-11458.995238784404,0.4580238771656017,1.0501876425692627,-1.813069855659315,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:48:00.000,-5124.275211785068,6778.641028722579,-11477.117485774213,0.4587792240497323,1.0491896541514791,-1.8113801567858414,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:48:10.000,-5119.683657431828,6789.127944508753,-11495.22285418763,0.45953106372343255,1.0481938697465354,-1.8096941381676543,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:48:20.000,-5115.084602135051,6799.604913437375,-11513.311380760917,0.46027941605678174,1.047200281302443,-1.808011786556658,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:48:30.000,-5110.478080669384,6810.071957427955,-11531.38310209816,0.4610243007775761,1.0462088808055283,-1.8063330887664792,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:48:40.000,-5105.864127612903,6820.529098320054,-11549.438054671893,0.4617657374725708,1.0452196602802308,-1.8046580316721297,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:48:50.000,-5101.242777348513,6830.976357873668,-11567.476274823703,0.4625037455886937,1.0442326117888983,-1.8029866022097003,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:49:00.000,-5096.614064065348,6841.413757769607,-11585.497798764844,0.4632383444342497,1.043247727431583,-1.801318787376051,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:49:10.000,-5091.978021760146,6851.841319609867,-11603.502662576839,0.4639695531801279,1.0422649993458317,-1.7996545742284784,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:49:20.000,-5087.3346842386145,6862.259064918007,-11621.490902212085,0.46469739086097595,1.0412844197064965,-1.7979939498844122,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:49:30.000,-5082.684085116796,6872.667015139521,-11639.462553494455,0.4654218763763706,1.0403059807255224,-1.7963369015211126,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:49:40.000,-5078.026257822406,6883.065191642205,-11657.417652119891,0.4661430284919833,1.0393296746517533,-1.794683416375344,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:49:50.000,-5073.361235596165,6893.453615716528,-11675.356233657,0.4668608658407261,1.0383554937707313,-1.793033481743073,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T14:50:00.000,-5068.689051493128,6903.832308575998,-11693.27833354764,0.46757540692388544,1.0373834304045002,-1.7913870849791642,5304314.930021906,198268347.24823567,90795578.2069394
