datetime_utc,et_seconds,station_id,station_name,mgs_x_km,mgs_y_km,mgs_z_km,mgs_vx_km_s,mgs_vy_km_s,mgs_vz_km_s,mars_sun_x_km,mars_sun_y_km,mars_sun_z_km,stat_earth_x_km,stat_earth_y_km,stat_earth_z_km,earth_sun_x_km,earth_sun_y_km,earth_sun_z_km
1997-09-20 14:40:30,-71961506.81760566,65,DSS-65,32316.075191551274,22984.178191487445,-40262.35502919493,0.16948734069366356,-0.1419309641040203,0.23839459373661093,-2167996.829541086,-198048632.59485528,-90779611.10134189,-3963.155498567229,-2819.1807540560985,4113.73246454971,150091533.6814714,-5517631.308701292,-2391639.979002499
1997-09-20 14:41:30,-71961446.81760566,65,DSS-65,32326.23062447302,22975.65251555382,-40248.034154298206,0.16902703391200805,-0.14225823620777822,0.23896790870123563,-2166488.1045429357,-198048517.4045127,-90779599.06456243,-3950.7836872998064,-2836.48947724275,4113.734571093656,150091576.6609838,-5515999.39188893,-2390932.4012945523
1997-09-20 14:41:30,-71961446.81760566,65,DSS-65,32326.23062447302,22975.65251555382,-40248.034154298206,0.16902703391200805,-0.14225823620777822,0.23896790870123563,-2166488.1045429357,-198048517.4045127,-90779599.06456243,-3950.7836872998064,-2836.48947724275,4113.734571093656,150091576.6609838,-5515999.39188893,-2390932.4012945523
1997-09-20 14:42:30,-71961386.81760566,65,DSS-65,32336.358428877647,22967.107202835243,-40233.67887943742,0.16856638997676943,-0.1425855236749056,0.23954125933371678,-2164979.379444382,-198048402.20502093,-90779587.02358924,-3938.3362643753308,-2853.743904931839,4113.736697155611,150091619.61942017,-5514367.474204146,-2390224.8232197664
1997-09-20 14:42:30,-71961386.81760566,65,DSS-65,32336.358428877647,22967.107202835243,-40233.67887943742,0.16856638997676943,-0.1425855236749056,0.23954125933371678,-2164979.379444382,-198048402.20502093,-90779587.02358924,-3938.3362643753308,-2853.743904931839,4113.736697155611,150091619.61942017,-5514367.474204146,-2390224.8232197664
1997-09-20 14:43:30,-71961326.81760567,65,DSS-65,32346.458584507087,22958.542252398973,-40219.28920245296,0.16810540800949392,-0.14291282694130944,0.240114646405014,-2163470.6542458623,-198048286.99638,-90779574.97842234,-3925.8134680772805,-2870.943706818499,4113.738842694866,150091662.5567804,-5512735.555647565,-2389517.244778415
1997-09-20 14:43:30,-71961326.81760567,65,DSS-65,32346.458584507087,22958.542252398973,-40219.28920245296,0.16810540800949392,-0.14291282694130944,0.240114646405014,-2163470.6542458623,-198048286.99638,-90779574.97842234,-3925.8134680772805,-2870.943706818499,4113.738842694866,150091662.5567804,-5512735.555647565,-2389517.244778415
1997-09-20 14:44:30,-71961266.81760567,65,DSS-65,32356.531071058012,22949.9576632797,-40204.86512112818,0.16764408712898288,-0.1432401464433555,0.24068807068694792,-2161961.9289467083,-198048171.77858984,-90779562.92906173,-3913.2155381226653,-2888.088553656364,4113.741007670347,150091705.47306457,-5511103.636218593,-2388809.6659702407
1997-09-20 14:44:30,-71961266.81760567,65,DSS-65,32356.531071058012,22949.9576632797,-40204.86512112818,0.16764408712898288,-0.1432401464433555,0.24068807068694792,-2161961.9289467083,-198048171.77858984,-90779562.92906173,-3913.2155381226653,-2888.088553656364,4113.741007670347,150091705.47306457,-5511103.636218593,-2388809.6659702407
1997-09-20 14:45:30,-71961206.81760567,65,DSS-65,32366.575868166638,22941.35343449233,-40190.40663321088,0.16718242645197012,-0.14356748261738395,0.24126153295135155,-2160453.2035473525,-198048056.55165043,-90779550.87550737,-3900.5427156760948,-2905.178117238254,4113.743192040597,150091748.36827257,-5509471.715917856,-2388102.0867955154
