datetime_utc,time_tag_seconds,doppler_hz,data_type_id,receiving_station_id,transmitting_station_id,ref_freq_mhz,source_file,lbl_file,ramp_rate_hz_s,ramp_start_freq_hz,interpolated_tx_freq_hz,ramp_time_offset_sec,session_id
1997-09-19 15:14:30,1505834070.0,-7302.022728150943,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1681.0,0
1997-09-19 15:15:30,1505834130.0,-7275.00351962354,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1741.0,0
1997-09-19 15:16:30,1505834190.0,-7273.204615450464,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,1.0,0
1997-09-19 15:17:30,1505834250.0,-7273.178825576557,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,61.0,0
1997-09-19 15:18:30,1505834310.0,-7271.123392479494,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,121.0,0
1997-09-19 15:19:30,1505834370.0,-7267.054179690545,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,181.0,0
1997-09-19 15:20:30,1505834430.0,-7260.2182981309015,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,241.0,0
1997-09-19 15:21:30,1505834490.0,-7252.164976033149,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,301.0,0
1997-09-19 15:22:30,1505834550.0,-7242.1413049176335,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,361.0,0
1997-09-19 15:23:30,1505834610.0,-7230.160350464284,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,421.0,0
1997-09-19 15:24:30,1505834670.0,-7217.002968590707,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,481.0,0
1997-09-19 15:25:30,1505834730.0,-7201.146081826184,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,541.0,0
1997-09-19 15:26:30,1505834790.0,-7184.137389482232,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,601.0,0
1997-09-19 15:27:30,1505834850.0,-7165.220211222768,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,661.0,0
1997-09-19 15:28:30,1505834910.0,-7145.174102994613,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.518784,7164830042.183388,7164830042.183388,721.0,0
1997-09-19 15:29:30,1505834970.0,-7124.008420708124,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,781.0,0
1997-09-19 15:30:30,1505835030.0,-7100.200603001751,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,841.0,0
1997-09-19 15:31:30,1505835090.0,-7076.061595346779,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,901.0,0
1997-09-19 15:32:30,1505835150.0,-7050.066946570994,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,961.0,0
1997-09-19 15:33:30,1505835210.0,-7022.22588841035,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1021.0,0
1997-09-19 15:34:30,1505835270.0,-6994.082460853038,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1081.0,0
1997-09-19 15:35:30,1505835330.0,-6964.110784700839,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1141.0,0
1997-09-19 15:36:30,1505835390.0,-6933.086399571272,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1201.0,0
1997-09-19 15:37:30,1505835450.0,-6901.01746617863,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1261.0,0
1997-09-19 15:38:30,1505835510.0,-6867.144479175797,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1321.0,0
1997-09-19 15:39:30,1505835570.0,-6833.010869310005,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1381.0,0
1997-09-19 15:40:30,1505835630.0,-6797.087897448568,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1441.0,0
1997-09-19 15:41:30,1505835690.0,-6760.15073067788,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1501.0,0
1997-09-19 15:42:30,1505835750.0,-6722.205830050167,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1561.0,0
1997-09-19 15:43:30,1505835810.0,-6684.029666504357,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1621.0,0
1997-09-19 15:44:30,1505835870.0,-6644.092045714613,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1681.0,0
1997-09-19 15:45:30,1505835930.0,-6606.073395980056,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.518784,7164830042.183388,7164830042.183388,1741.0,0
1997-09-19 15:46:30,1505835990.0,-6578.1203656813595,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1.0,0
1997-09-19 15:47:30,1505836050.0,-6551.0277572937775,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,61.0,0
1997-09-19 15:48:30,1505836110.0,-6522.199070200091,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,121.0,0
1997-09-19 15:49:30,1505836170.0,-6493.172946602339,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,181.0,0
1997-09-19 15:50:30,1505836230.0,-6463.188988632988,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,241.0,0
1997-09-19 15:51:30,1505836290.0,-6433.01916196174,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,301.0,0
1997-09-19 15:52:30,1505836350.0,-6401.134742974071,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,361.0,0
1997-09-19 15:53:30,1505836410.0,-6369.074967586668,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,421.0,0
1997-09-19 15:54:30,1505836470.0,-6336.076147261541,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,481.0,0
1997-09-19 15:55:30,1505836530.0,-6302.144809019519,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,541.0,0
1997-09-19 15:56:30,1505836590.0,-6268.052313164808,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,601.0,0
1997-09-19 15:57:30,1505836650.0,-6233.035817114171,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,661.0,0
1997-09-19 15:58:30,1505836710.0,-6197.099213017384,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,721.0,0
1997-09-19 15:59:30,1505836770.0,-6161.0143966949545,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,781.0,0
1997-09-19 16:00:30,1505836830.0,-6124.017978405813,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,841.0,0
1997-09-19 16:01:30,1505836890.0,-6086.114665212575,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,901.0,0
1997-09-19 16:02:30,1505836950.0,-6048.075095642591,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,961.0,0
1997-09-19 16:03:30,1505837010.0,-6009.135173711227,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1021.0,0
1997-09-19 16:04:30,1505837070.0,-5970.0673074577935,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1081.0,0
1997-09-19 16:05:30,1505837130.0,-5930.106814938365,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1141.0,0
1997-09-19 16:06:30,1505837190.0,-5890.024431695463,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1201.0,0
1997-09-19 16:07:30,1505837250.0,-5849.05618979549,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1261.0,0
1997-09-19 16:08:30,1505837310.0,-5807.20574467862,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1321.0,0
1997-09-19 16:09:30,1505837370.0,-5766.01102453121,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1381.0,0
1997-09-19 16:10:30,1505837430.0,-5723.17388956761,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1441.0,0
1997-09-19 16:11:30,1505837490.0,-5680.230944715207,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1501.0,0
1997-09-19 16:12:30,1505837550.0,-5637.185538858408,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1561.0,0
1997-09-19 16:13:30,1505837610.0,-5594.040846256074,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1621.0,0
1997-09-19 16:14:30,1505837670.0,-5550.031633923296,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1681.0,0
1997-09-19 16:15:30,1505837730.0,-5506.188926546602,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.611584,7164831038.046588,7164831038.046588,1741.0,0
1997-09-19 16:16:30,1505837790.0,-5467.223218617728,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1.0,0
1997-09-19 16:17:30,1505837850.0,-5429.067148357164,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,61.0,0
1997-09-19 16:18:30,1505837910.0,-5390.057920503663,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,121.0,0
1997-09-19 16:19:30,1505837970.0,-5350.197560680797,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,181.0,0
1997-09-19 16:20:30,1505838030.0,-5311.02414065809,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,241.0,0
1997-09-19 16:21:30,1505838090.0,-5271.004912727745,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,301.0,0
1997-09-19 16:22:30,1505838150.0,-5230.142438026145,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,361.0,0
1997-09-19 16:23:30,1505838210.0,-5189.205919302069,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,421.0,0
1997-09-19 16:24:30,1505838270.0,-5148.198705431772,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,481.0,0
1997-09-19 16:25:30,1505838330.0,-5107.121250437573,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,541.0,0
1997-09-19 16:26:30,1505838390.0,-5065.210121895885,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,601.0,0
1997-09-19 16:27:30,1505838450.0,-5024.001039977418,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,661.0,0
1997-09-19 16:28:30,1505838510.0,-4981.19446015358,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,721.0,0
1997-09-19 16:29:30,1505838570.0,-4939.094207158778,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,781.0,0
1997-09-19 16:30:30,1505838630.0,-4896.168282227125,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,841.0,0
1997-09-19 16:31:30,1505838690.0,-4853.1852400607895,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,901.0,0
1997-09-19 16:32:30,1505838750.0,-4810.147304187296,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,961.0,0
1997-09-19 16:33:30,1505838810.0,-4767.055937562138,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1021.0,0
1997-09-19 16:34:30,1505838870.0,-4723.1463534620125,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1081.0,0
1997-09-19 16:35:30,1505838930.0,-4679.1860821309965,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1141.0,0
1997-09-19 16:36:30,1505838990.0,-4635.179182582768,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1201.0,0
1997-09-19 16:37:30,1505839050.0,-4591.125798396999,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1261.0,0
1997-09-19 16:38:30,1505839110.0,-4547.027734010015,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1321.0,0
1997-09-19 16:39:30,1505839170.0,-4502.120505380211,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1381.0,0
1997-09-19 16:40:30,1505839230.0,-4457.171704838751,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1441.0,0
1997-09-19 16:41:30,1505839290.0,-4412.183602484642,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1501.0,0
1997-09-19 16:42:30,1505839350.0,-4367.157114118105,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1561.0,0
1997-09-19 16:43:30,1505839410.0,-4322.094509838847,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1621.0,0
1997-09-19 16:44:30,1505839470.0,-4276.229551611934,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1681.0,0
1997-09-19 16:45:30,1505839530.0,-4231.1991633325815,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.64752,7164832044.349788,7164832044.349788,1741.0,0
1997-09-19 16:46:30,1505839590.0,-4188.108929817099,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,1.0,0
1997-09-19 16:47:30,1505839650.0,-4145.039429869503,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,61.0,0
1997-09-19 16:48:30,1505839710.0,-4101.173404502217,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,121.0,0
1997-09-19 16:49:30,1505839770.0,-4058.046950299293,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,181.0,0
1997-09-19 16:50:30,1505839830.0,-4014.1268034491222,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,241.0,0
1997-09-19 16:51:30,1505839890.0,-3970.181002541678,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,301.0,0
1997-09-19 16:52:30,1505839950.0,-3926.2119030498434,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,361.0,0
1997-09-19 16:53:30,1505840010.0,-3882.220319877146,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,421.0,0
1997-09-19 16:54:30,1505840070.0,-3838.2066410765983,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,481.0,0
1997-09-19 16:55:30,1505840130.0,-3794.17339286115,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,541.0,0
1997-09-19 16:56:30,1505840190.0,-3750.1208197015803,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,601.0,0
1997-09-19 16:57:30,1505840250.0,-3706.0505669349805,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,661.0,0
1997-09-19 16:58:30,1505840310.0,-3661.1973045680206,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,721.0,0
1997-09-19 16:59:30,1505840370.0,-3617.0954217594117,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,781.0,0
1997-09-19 17:00:30,1505840430.0,-3572.21208931366,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,841.0,0
1997-09-19 17:01:30,1505840490.0,-3528.082709205337,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,901.0,0
1997-09-19 17:02:30,1505840550.0,-3483.174075830495,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,961.0,0
1997-09-19 17:03:30,1505840610.0,-3439.022514723474,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,1021.0,0
1997-09-19 17:04:30,1505840670.0,-3394.0927868920844,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,1081.0,0
1997-09-19 17:05:30,1505840730.0,-3349.1552669955418,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,1141.0,0
1997-09-19 17:06:30,1505840790.0,-3304.2090586342383,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,1201.0,0
1997-09-19 17:07:30,1505840850.0,-3260.0234305232298,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,1261.0,0
1997-09-19 17:08:30,1505840910.0,-3215.0649015433155,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,1321.0,0
1997-09-19 17:09:30,1505840970.0,-3170.1020457902923,12,65,65,70205.932,7262262b.odf,7262262b.lbl,0.8291839999999999,7164833054.695788,7164833054.695788,1381.0,0
