ramp_datetime_utc,ramp_end_datetime_utc,time_tag_seconds,ramp_rate_hz_s,ramp_start_freq_hz,ramp_start_freq_ghz,ramp_start_ghz_int,ramp_station_id,source_file,lbl_file
1997-09-19 12:50:14,1997-09-19 12:53:59,1505825414.0,-4.107328,7164897913.521184,7.164897913521184,7,45,7262262a.odf,7262262a.lbl
1997-09-19 12:50:14,1997-09-19 12:53:59,1505825414.0,-4.107328,7164897913.521184,7.164897913521184,7,15,7262262a.odf,7262262a.lbl
1997-09-19 12:50:14,1997-09-19 12:53:59,1505825414.0,-4.107328,7164897913.521184,7.164897913521184,7,65,7262262a.odf,7262262a.lbl
1997-09-19 12:53:59,1997-09-19 12:56:59,1505825639.0,-15.607552,7164896989.372384,7.164896989372384,7,15,7262262a.odf,7262262a.lbl
1997-09-19 12:53:59,1997-09-19 12:56:59,1505825639.0,-15.607552,7164896989.372384,7.164896989372384,7,65,7262262a.odf,7262262a.lbl
1997-09-19 12:53:59,1997-09-19 12:56:59,1505825639.0,-15.607552,7164896989.372384,7.164896989372384,7,45,7262262a.odf,7262262a.lbl
1997-09-19 12:56:59,1997-09-19 13:00:21,1505825819.0,-27.213984,7164894180.013024,7.164894180013024,7,65,7262262a.odf,7262262a.lbl
1997-09-19 12:56:59,1997-09-19 13:00:21,1505825819.0,-27.213984,7164894180.013024,7.164894180013024,7,15,7262262a.odf,7262262a.lbl
1997-09-19 12:56:59,1997-09-19 13:00:21,1505825819.0,-27.213984,7164894180.013024,7.164894180013024,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:00:21,1997-09-19 13:05:10,1505826021.0,-37.275616,7164888682.788256,7.164888682788256,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:00:21,1997-09-19 13:05:10,1505826021.0,-37.275616,7164888682.788256,7.164888682788256,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:00:21,1997-09-19 13:05:10,1505826021.0,-37.275616,7164888682.788256,7.164888682788256,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:05:10,1997-09-19 13:09:51,1505826310.0,-39.76416,7164877910.135232,7.164877910135232,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:05:10,1997-09-19 13:09:51,1505826310.0,-39.76416,7164877910.135232,7.164877910135232,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:05:10,1997-09-19 13:09:51,1505826310.0,-39.76416,7164877910.135232,7.164877910135232,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:09:51,1997-09-19 13:14:49,1505826591.0,-32.24528,7164866736.406272,7.164866736406272,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:09:51,1997-09-19 13:14:49,1505826591.0,-32.24528,7164866736.406272,7.164866736406272,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:09:51,1997-09-19 13:14:49,1505826591.0,-32.24528,7164866736.406272,7.164866736406272,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:14:49,1997-09-19 13:19:32,1505826889.0,-24.348192,7164857127.312832,7.164857127312832,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:14:49,1997-09-19 13:19:32,1505826889.0,-24.348192,7164857127.312832,7.164857127312832,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:14:49,1997-09-19 13:19:32,1505826889.0,-24.348192,7164857127.312832,7.164857127312832,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:19:32,1997-09-19 13:25:03,1505827172.0,-17.49472,7164850236.774496,7.164850236774496,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:19:32,1997-09-19 13:25:03,1505827172.0,-17.49472,7164850236.774496,7.164850236774496,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:19:32,1997-09-19 13:25:03,1505827172.0,-17.49472,7164850236.774496,7.164850236774496,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:25:03,1997-09-19 13:31:56,1505827503.0,-11.734368,7164844446.022176,7.164844446022176,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:25:03,1997-09-19 13:31:56,1505827503.0,-11.734368,7164844446.022176,7.164844446022176,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:25:03,1997-09-19 13:31:56,1505827503.0,-11.734368,7164844446.022176,7.164844446022176,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:31:56,1997-09-19 13:34:39,1505827916.0,-7.24576,7164839599.728192,7.164839599728192,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:31:56,1997-09-19 13:34:39,1505827916.0,-7.24576,7164839599.728192,7.164839599728192,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:31:56,1997-09-19 13:34:39,1505827916.0,-7.24576,7164839599.728192,7.164839599728192,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:34:39,1997-09-19 13:35:19,1505828079.0,242.754208,7164838418.669312,7.164838418669311,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:34:39,1997-09-19 13:35:19,1505828079.0,242.754208,7164838418.669312,7.164838418669311,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:34:39,1997-09-19 13:35:19,1505828079.0,242.754208,7164838418.669312,7.164838418669311,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:35:19,1997-09-19 13:35:24,1505828119.0,-7.245664,7164848128.837632,7.164848128837632,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:35:19,1997-09-19 13:35:24,1505828119.0,-7.245664,7164848128.837632,7.164848128837632,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:35:19,1997-09-19 13:35:24,1505828119.0,-7.245664,7164848128.837632,7.164848128837632,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:35:24,1997-09-19 13:36:44,1505828124.0,-257.245728,7164848092.609312,7.164848092609312,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:35:24,1997-09-19 13:36:44,1505828124.0,-257.245728,7164848092.609312,7.164848092609312,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:35:24,1997-09-19 13:36:44,1505828124.0,-257.245728,7164848092.609312,7.164848092609312,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:36:44,1997-09-19 13:36:54,1505828204.0,-7.245856,7164827512.951072,7.164827512951072,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:36:44,1997-09-19 13:36:54,1505828204.0,-7.245856,7164827512.951072,7.164827512951072,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:36:44,1997-09-19 13:36:54,1505828204.0,-7.245856,7164827512.951072,7.164827512951072,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:36:54,1997-09-19 13:37:34,1505828214.0,242.75424,7164827440.492512,7.164827440492512,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:36:54,1997-09-19 13:37:34,1505828214.0,242.75424,7164827440.492512,7.164827440492512,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:36:54,1997-09-19 13:37:34,1505828214.0,242.75424,7164827440.492512,7.164827440492512,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:37:34,1997-09-19 13:40:53,1505828254.0,-7.245728,7164837150.662112,7.1648371506621125,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:37:34,1997-09-19 13:40:53,1505828254.0,-7.245728,7164837150.662112,7.1648371506621125,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:37:34,1997-09-19 13:40:53,1505828254.0,-7.245728,7164837150.662112,7.1648371506621125,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:40:53,1997-09-19 13:54:18,1505828453.0,-3.884224,7164835708.76224,7.16483570876224,7,65,7262262a.odf,7262262a.lbl
1997-09-19 13:40:53,1997-09-19 13:54:18,1505828453.0,-3.884224,7164835708.76224,7.16483570876224,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:40:53,1997-09-19 13:54:18,1505828453.0,-3.884224,7164835708.76224,7.16483570876224,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:54:18,1997-09-19 14:16:29,1505829258.0,-1.527552,7164832581.96192,7.16483258196192,7,15,7262262a.odf,7262262a.lbl
1997-09-19 13:54:18,1997-09-19 14:16:29,1505829258.0,-1.527552,7164832581.96192,7.16483258196192,7,45,7262262a.odf,7262262a.lbl
1997-09-19 13:54:18,1997-09-19 14:16:29,1505829258.0,-1.527552,7164832581.96192,7.16483258196192,7,65,7262262a.odf,7262262a.lbl
1997-09-19 14:16:29,1997-09-19 14:46:29,1505830589.0,-0.23459200000000002,7164830548.790208,7.164830548790208,7,15,7262262a.odf,7262262a.lbl
1997-09-19 14:16:29,1997-09-19 14:46:29,1505830589.0,-0.23459200000000002,7164830548.790208,7.164830548790208,7,45,7262262a.odf,7262262a.lbl
1997-09-19 14:16:29,1997-09-19 14:46:29,1505830589.0,-0.23459200000000002,7164830548.790208,7.164830548790208,7,65,7262262a.odf,7262262a.lbl
1997-09-19 14:46:29,1997-09-19 15:16:29,1505832389.0,0.304672,7164830126.524608,7.164830126524608,7,15,7262262a.odf,7262262a.lbl
1997-09-19 14:46:29,1997-09-19 15:16:29,1505832389.0,0.304672,7164830126.524608,7.164830126524608,7,45,7262262a.odf,7262262a.lbl
1997-09-19 14:46:29,1997-09-19 15:16:29,1505832389.0,0.304672,7164830126.524608,7.164830126524608,7,65,7262262a.odf,7262262a.lbl
1997-09-19 15:16:29,1997-09-19 15:29:51,1505834189.0,0.518784,7164830674.934208,7.164830674934208,7,15,7262262a.odf,7262262a.lbl
1997-09-19 15:16:29,1997-09-19 15:29:51,1505834189.0,0.518784,7164830674.934208,7.164830674934208,7,45,7262262a.odf,7262262a.lbl
1997-09-19 15:16:29,1997-09-19 15:29:51,1505834189.0,0.518784,7164830674.934208,7.164830674934208,7,65,7262262a.odf,7262262a.lbl
1997-09-19 15:46:29,1997-09-19 16:16:29,1505835989.0,0.611584,7164831608.745408,7.164831608745408,7,65,7262262b.odf,7262262b.lbl
1997-09-19 15:46:29,1997-09-19 16:16:29,1505835989.0,0.611584,7164831608.745408,7.164831608745408,7,45,7262262b.odf,7262262b.lbl
1997-09-19 15:46:29,1997-09-19 16:16:29,1505835989.0,0.611584,7164831608.745408,7.164831608745408,7,15,7262262b.odf,7262262b.lbl
1997-09-19 16:16:29,1997-09-19 16:46:29,1505837789.0,0.6475200000000001,7164832709.596608,7.164832709596608,7,15,7262262b.odf,7262262b.lbl
1997-09-19 16:16:29,1997-09-19 16:46:29,1505837789.0,0.6475200000000001,7164832709.596608,7.164832709596608,7,45,7262262b.odf,7262262b.lbl
1997-09-19 16:16:29,1997-09-19 16:46:29,1505837789.0,0.6475200000000001,7164832709.596608,7.164832709596608,7,65,7262262b.odf,7262262b.lbl
1997-09-19 16:46:29,1997-09-19 17:16:29,1505839589.0,0.829184,7164833875.132608,7.164833875132609,7,45,7262262b.odf,7262262b.lbl
1997-09-19 16:46:29,1997-09-19 17:16:29,1505839589.0,0.829184,7164833875.132608,7.164833875132609,7,65,7262262b.odf,7262262b.lbl
1997-09-19 16:46:29,1997-09-19 17:16:29,1505839589.0,0.829184,7164833875.132608,7.164833875132609,7,15,7262262b.odf,7262262b.lbl
1997-09-19 17:16:29,1997-09-19 17:29:50,1505841389.0,0.634432,7164835367.663808,7.164835367663808,7,15,7262262b.odf,7262262b.lbl
1997-09-19 17:16:29,1997-09-19 17:29:50,1505841389.0,0.634432,7164835367.663808,7.164835367663808,7,45,7262262b.odf,7262262b.lbl
1997-09-19 17:16:29,1997-09-19 17:29:50,1505841389.0,0.634432,7164835367.663808,7.164835367663808,7,65,7262262b.odf,7262262b.lbl
1997-09-19 17:46:29,1997-09-19 18:16:29,1505843189.0,0.602336,7164836509.641408,7.164836509641408,7,65,7262262c.odf,7262262c.lbl
1997-09-19 17:46:29,1997-09-19 18:16:29,1505843189.0,0.602336,7164836509.641408,7.164836509641408,7,15,7262262c.odf,7262262c.lbl
1997-09-19 18:16:29,1997-09-19 18:46:29,1505844989.0,0.558496,7164837593.846208,7.164837593846207,7,65,7262262c.odf,7262262c.lbl
